ID,Name,Glottocode
agob,Agöb,agob1245
arammba,Arammba,aram1253
bedi,Bedi,badi1247
blafe,Blafe,blaf1238
ende,Ende,ende1235
idi,Idi,nucl1597
kancha,Kancha,kunj1246
kawam,Kawam,kawa1281
kema,Kema,
komnzo,Komnzo,komn1238
len,Len,lenn1234
maklew,Maklew,makl1246
marori,Marori,moro1289
nama,Nama,nama1266
namat,Namat,nama1267
nambo,Nambo,namb1293
namna,Namna,namn1239
namo,Namo,namo1246
namotais,Namo_Tais,namo1246
ndre,Ndre,dree1234
neme,Neme,neme1244
nen,Nen,nenn1238
ngarna,Ngarna,sota1242
nggarna,Nggarna,sota1242
ngkolmpu,Ngkolmpu,ngka1235
nmbo,Nmbo,nucl1459
prototonda,Proto-Tonda,tond1250
ranmo,Ranmo,ranm1238
rema,Rema,rema1238
smerki,Smerki,smar1235
suki,Suki,suki1245
taeme,Taeme,tame1238
tame,Täme,tame1238
tamer,Tamer,smar1235
warthathuntai,Wartha Thuntai,gunt1241
were,Were,were1244
westerncoastalmarind,western Coastal Marind,hali1245
yei,Yei,yeii1239
yelmek,Yelmek,yelm1242
